local,Agitação Marítima,Nevoeiro,Tempo Quente,Tempo Frio,Precipitação,Neve,Trovoada,Vento
Aveiro,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Beja,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Braga,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Bragança,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Castelo Branco,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Coimbra,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Évora,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Faro,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Guarda,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Leiria,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Lisboa,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Portalegre,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Porto,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Santarém,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Setúbal,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Viana do Castelo,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Vila Real,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
Viseu,Verde,Verde,Verde,Verde,Verde,Verde,Verde,Verde
